total,target,horizon,case0_count,case0_entry_range_median,case0_future_range_median,case0_expansion_median,case0_expansion_p75,case0_expansion_p25,case1_count,case1_entry_range_median,case1_future_range_median,case1_expansion_median,case1_expansion_p75,case1_expansion_p25,case2_count,case2_entry_range_median,case2_future_range_median,case2_expansion_median,case2_expansion_p75,case2_expansion_p25,case3_count,case3_entry_range_median,case3_future_range_median,case3_expansion_median,case3_expansion_p75,case3_expansion_p25,dataset
1049132,15,60,49868,4.967766840781975,5.678818470308562,1.1776975646373637,2.0099057299404577,0.7656846292158423,127221,3.667167121484657,4.313126414125045,1.254228580642035,2.314227729713661,0.7680645511298703,611615,5.801235010165516,6.258271891768506,1.1060841407646262,1.7735091568564716,0.7408351455751311,259942,3.471519250150598,3.843546823031927,1.157513104901044,2.124889874932936,0.7210412599615804,test
1049132,15,120,50265,4.925603010114623,5.650533885077147,1.1796838151797462,2.0612618049748423,0.751756505074674,127221,3.667167121484657,4.498655291015088,1.3026298005691124,2.4623872908895783,0.7833107598142124,720549,5.428882513924878,5.966998118711782,1.11924885939353,1.8702933060856524,0.7303692278968926,151008,3.33900483657537,3.828791282286437,1.1985741783197077,2.2711054359311444,0.7272625136719825,test
1049132,20,5,18095,7.998699057341695,10.301308867795175,1.3127421846782643,2.0631153205605837,0.8957962585991086,168127,3.6410122317412466,3.8827267906705254,1.0973967747854942,1.9727077314812846,0.6856774553079416,97065,11.174797016466263,12.901275746453683,1.178115433237362,1.730388806938598,0.8396647125316672,744409,4.609584064209573,4.80104795475113,1.0457291885964284,1.7200224886482391,0.6872365573456242,test
1049132,20,10,26978,6.491488198902869,7.873347781571088,1.2491895977129528,1.9900543369769483,0.8472748451490506,168127,3.6410122317412466,3.9358102257646967,1.1345553016853258,2.0331158827752365,0.7122748916846231,185276,8.998403971487624,9.999701173579348,1.1342441760536275,1.683986903977613,0.8009917045584372,656198,4.328635658090322,4.51422822502105,1.0696544853841514,1.7773199812647125,0.701638975742646,test
1049132,20,15,31418,5.913954642354637,7.031014050676733,1.2199524827712862,1.9715229750848386,0.8233446778835414,168127,3.6410122317412466,3.9752804995962396,1.1519053865206506,2.0697336401984208,0.7245404741096163,252644,8.068317559495927,8.822093592505446,1.12079142969293,1.6810371719326307,0.7854474446864592,588830,4.154375866972523,4.3503792443307026,1.0835904916940255,1.8169981493935834,0.7083646718351689,test
1049132,20,30,36345,5.33892742837217,6.225505114624593,1.1987598061294245,1.9880464627435168,0.7942287760291629,168127,3.6410122317412466,4.067323857471015,1.1885434001356252,2.158757519936575,0.7405298735710326,386212,6.911486673767763,7.45839941173153,1.108733859326635,1.7061340511555059,0.7637810913036827,455262,3.8791740746344265,4.112154382318242,1.1064517201813466,1.9088988273806557,0.7135980500833693,test
1049132,20,60,38586,5.068170442846265,5.873379512539556,1.1903490956011034,2.03400090672534,0.7738526483489524,168127,3.6410122317412466,4.211653674852832,1.2323571571814689,2.276376138750018,0.75532050799118,525579,6.136936896959305,6.643917519481431,1.1090984389115113,1.7626737695380896,0.7473356546468048,315895,3.6500892750568146,3.95934628001301,1.134145264068377,2.0325160119446117,0.7159152680372687,test
1049132,20,120,39297,4.980017885855994,5.751646656355215,1.1872812114442732,2.078213861843648,0.7545171271273995,168127,3.6410122317412466,4.358425380120834,1.2760105337485863,2.4159176770541557,0.7673294314489421,653010,5.635407533495739,6.201280364283191,1.1189556685615343,1.8542020832233004,0.7337967079378795,188464,3.479322662154831,3.8902679977576478,1.1669609984807583,2.17553278687876,0.7174076240750565,test
1049132,25,5,11210,9.115155191562526,12.191473037467127,1.359782640327731,2.156100390126787,0.9235695665973112,208662,3.6469934003411812,3.8939925939850975,1.0962441816708641,1.9693399651892993,0.6849667732083764,62905,12.590492195389958,14.901352874109216,1.2038161438334223,1.76617353627335,0.8584216840858828,744915,4.815916282251756,5.048058103733281,1.0492575945263587,1.708245951948862,0.693721635027036,test
1049132,25,10,18391,7.211478307555519,9.060170873974759,1.282153888665139,2.020523076340095,0.8710195068454605,208662,3.6469934003411812,3.942151778248312,1.1313383084802473,2.027526832230427,0.7107186869443443,130504,10.02423677376568,11.388036744670483,1.151642848224725,1.7056062348223524,0.8161896800031875,677316,4.555325309554027,4.782393861643445,1.0703169508162305,1.7537373379850827,0.7076716590698465,test
1049132,25,15,22670,6.4489692049258736,7.86909113141128,1.2474038020231115,2.0034388358876667,0.8477288937417392,208662,3.6469934003411812,3.972484331398951,1.147399457474366,2.0574143603385773,0.7220501361199627,186616,8.892323675020181,9.90451714029096,1.1341764392816536,1.6938718856835346,0.7983523459834894,621204,4.3833915061121775,4.608108605845789,1.0813478613513174,1.7843652646861718,0.713250782694751,test
1049132,25,30,28133,5.602238716081475,6.671790427851319,1.2204164443656762,2.011002728903698,0.81124368161509,208662,3.6469934003411812,4.046623408569234,1.1783170325729788,2.1338038071946532,0.73566938365831,307999,7.474253815731621,8.132899043669186,1.116597503474349,1.7088433123188906,0.7726277547505127,499821,4.083327432879478,4.321979534955841,1.0988637467145066,1.859570756207553,0.7163030669196406,test
1049132,25,60,31063,5.195498711228609,6.098048753105583,1.2067859896282438,2.0443398484915365,0.7860098680652998,208662,3.6469934003411812,4.173004176576573,1.2150455918979084,2.242493370459762,0.7479750866878214,448803,6.49770017557803,7.059624045294983,1.1137493235360634,1.7573588480437674,0.7531866825541118,359017,3.8227981856823368,4.103630071779305,1.12041590149508,1.9677695462033287,0.7150035092095096,test
1049132,25,120,32219,5.026142876351902,5.859303687896769,1.1941900619304615,2.093524096460007,0.761709001925221,208662,3.6469934003411812,4.297629392842406,1.2541304347194813,2.3716225532700363,0.7563488665157476,587210,5.859675728541498,6.448591098204096,1.1203998750069641,1.843013323886638,0.737295977488828,220610,3.6144548684330937,3.9754193621916665,1.147008677079386,2.1014279799179736,0.7137438420838059,test
