feature,horizon,q1_mfe_median_train,q4_mfe_median_train,q4_q1_diff_train,spearman_r_train,p_value_train,q1_count_train,q4_count_train,pct_profitable_q1_train,pct_profitable_q4_train,status_train,q1_mfe_median_oos,q4_mfe_median_oos,q4_q1_diff_oos,spearman_r_oos,p_value_oos,q1_count_oos,q4_count_oos,pct_profitable_q1_oos,pct_profitable_q4_oos,status_oos
donchian_width,20,73.09833920646734,207.50868976253335,134.41035055606602,0.49987328193241715,0.0,34974,34973,96.02561903128039,99.99142195407886,OK,64.58140123092488,138.1369597853768,73.55555855445192,0.40981312853097845,0.0,17481,17480,96.77363995194783,99.96567505720823,OK
bb_width,20,72.7163473572941,203.89974383019904,131.18339647290495,0.5009710219765569,0.0,34974,34973,95.89981128838566,100.0,OK,64.14235464514627,139.85162225240492,75.70926760725865,0.42463273083465347,0.0,17481,17480,96.68783250386134,100.0,OK
ema_separation,20,89.63558349150898,185.7741249107318,96.13854141922283,0.36657556634021266,0.0,34974,34973,96.47166466517984,99.96854716495582,OK,86.25673372142899,124.60711860618392,38.35038488475493,0.21997951671941865,0.0,17481,17480,97.96922372861965,99.99427917620137,OK
body_bps,20,92.7851564516668,187.6758230186677,94.8906665670009,0.35198822000723484,0.0,34974,34973,96.71756161720135,99.99714065135962,OK,79.17719807177986,131.59502449311225,52.41782642133239,0.28214865460648547,0.0,17481,17480,97.88913677707225,99.96567505720823,OK
atr_percentile,20,110.17519699782774,150.14181373121718,39.96661673338944,0.1676960306994659,0.0,34979,34507,97.35555619085737,99.82612223606804,OK,72.88248256274625,126.65894525670859,53.776462693962344,0.3093799899765609,0.0,17788,17457,97.54890937710816,99.96562983330469,OK
hour_utc,20,108.43107163576849,129.95973196912388,21.52866033335539,0.08461903776604919,4.021548140494962e-80,40766,29161,98.38100377765785,99.02266726106787,OK,84.04898287913642,95.37414829834148,11.325165419205064,0.09349974753337599,1.7778593813406483e-97,20391,17470,98.84262664901182,99.27303949627934,OK
ll_count5,20,127.25977981361245,135.08735626528815,7.8275764516756965,0.017389065073944394,0.00010086154610739747,79960,19979,98.89194597298649,99.06401721807899,OK,97.29947000017286,101.00843480035391,3.7089648001810502,0.008780845625590466,0.049594427485164926,39177,11363,99.12703882379968,99.26075860248173,OK
hh_count5,20,127.95294449878186,131.66926272850867,3.7163182297268094,-0.0022051386558906666,0.6219615266652869,77822,21152,98.87306931201974,99.11119515885022,OK,97.96047967267413,99.6768422087112,1.7163625360370673,-0.0008237172642298026,0.8538689491651184,38385,11724,99.11684251660805,99.2920504947117,OK
range_position_50,20,137.47634814612462,138.97758084197457,1.50123269584995,-0.0034914509588144086,0.4349818846627561,34974,34973,99.27374621147138,99.35092785863381,OK,104.38069481054548,103.41138713895161,-0.9693076715938673,-0.009760576130592408,0.029070543435932107,17481,17480,99.53663978033293,99.39931350114416,OK
dist_from_low20,20,134.2771339020888,135.65244159736002,1.375307695271232,-0.008434544714627961,0.059293886432954905,34974,34973,98.89060444901926,99.13361736196494,OK,99.67247980510052,101.00502265444324,1.3325428493427154,0.0032079792508318923,0.4731829125135081,17481,17480,99.22773296722156,99.18764302059496,OK
session_us,20,128.5699348153666,128.5699348153666,0.0,0.025371327738206474,1.3952330993041136e-08,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,0.030745700369392875,6.1383454126187935e-12,69921,69921,99.12186610603395,99.12186610603395,OK
rsi_oversold_zone,20,128.5699348153666,128.5699348153666,0.0,0.07002807869694867,2.151968991072802e-55,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,0.05873981195504612,1.80265031535769e-39,69921,69921,99.12186610603395,99.12186610603395,OK
rsi_extreme_oversold,20,128.5699348153666,128.5699348153666,0.0,0.047505272889053214,2.2023712337969967e-26,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,0.04266153904670692,1.3806975520597534e-21,69921,69921,99.12186610603395,99.12186610603395,OK
session_asia_night,20,128.5699348153666,128.5699348153666,0.0,-0.09615387350567538,5.286932236862789e-103,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,-0.11369162033178838,1.7656553316154827e-143,69921,69921,99.12186610603395,99.12186610603395,OK
is_weekend,20,128.5699348153666,128.5699348153666,0.0,-0.17616015767490012,0.0,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,-0.3284545874782109,0.0,69921,69921,99.12186610603395,99.12186610603395,OK
session_europe,20,128.5699348153666,128.5699348153666,0.0,0.050128035477199503,3.413186351612794e-29,139893,139893,98.9284667567355,98.9284667567355,OK,98.16905617356865,98.16905617356865,0.0,0.07061722225205808,2.661628591607008e-56,69921,69921,99.12186610603395,99.12186610603395,OK
dist_from_high20,20,135.6451571905249,134.28202664694766,-1.363130543577256,0.004772291825814099,0.28592835668866534,34974,34973,99.1336421341568,98.89057272753267,OK,101.00466246157151,99.67481136223915,-1.329851099332359,-0.0027960227623019837,0.5318428942519587,17481,17480,99.18768949144786,99.22768878718536,OK
day_of_week,20,138.9557686022449,112.79136623356617,-26.164402368678722,-0.1412173975339557,5.028438046109137e-221,39907,20007,99.73187661312551,97.77577847753285,OK,116.08326777341192,83.59158475566298,-32.49168301774894,-0.2738849148498841,0.0,20095,9956,99.97014182632495,98.0715146645239,OK
